pressure1,pressure2,temperature
9439,18976,2103
9439,18979,2102
9439,18976,2102
9453,18979,2103
9439,18979,2103
9458,18979,2102
9443,18979,2103
9463,18979,2103
9443,18979,2103
9458,18976,2103
9439,18979,2103
9463,18976,2103
9443,18979,2103
9453,18979,2103
9419,18979,2103
9448,18976,2103
9443,18979,2103
9482,18976,2103
9458,18979,2103
9443,18979,2103
9395,18979,2103
9390,18976,2103
9342,18979,2103
9351,18979,2103
9308,18976,2103
9298,18979,2103
9240,18976,2103
9269,18976,2103
9279,18976,2103
9342,18976,2103
9380,18979,2103
9424,18973,2103
9434,18976,2103
9482,18976,2103
9492,18976,2103
9530,18979,2103
9525,18979,2103
9554,18976,2103
9545,18979,2103
9564,18976,2103
9554,18979,2103
9569,18976,2103
9540,18979,2103
9530,18973,2103
9448,18976,2103
9400,18979,2103
9283,18979,2103
9211,18979,2103
9157,18979,2103
9186,18976,2103
9206,18976,2103
9283,18973,2103
9356,18976,2103
9419,18973,2103
9395,18976,2103
9385,18976,2103
9351,18979,2103
9376,18979,2103
9380,18979,2103
9419,18976,2103
9424,18979,2103
9472,18979,2103
9458,18979,2103
9443,18976,2103
9395,18979,2103
9366,18976,2103
9400,18979,2103
9472,18979,2103
9472,18976,2103
9501,18976,2103
9472,18976,2103
9487,18976,2103
9492,18976,2103
9516,18976,2103
9511,18976,2103
9540,18979,2103
9535,18979,2103
9545,18976,2103
9497,18979,2103
9497,18976,2103
9458,18976,2103
9448,18976,2103
9429,18976,2103
9434,18979,2103
9424,18979,2103
9439,18976,2103
9405,18979,2103
9414,18976,2103
9376,18979,2103
9376,18976,2103
9356,18979,2103
9400,18976,2103
9395,18973,2102
9424,18979,2102
9458,18979,2103
9477,18979,2102
9463,18976,2102
9482,18979,2103
9463,18976,2103
9472,18979,2103
9468,18979,2103
9497,18979,2102
9472,18979,2103
9487,18979,2103
9458,18979,2102
9434,18976,2102
9400,18976,2103
9405,18976,2103
9371,18979,2102
9390,18973,2103
9371,18973,2103
9395,18976,2103
9385,18979,2103
9410,18976,2103
9385,18976,2103
9410,18979,2103
9395,18979,2103
9395,18979,2103
9351,18976,2103
9376,18976,2103
9380,18979,2103
9414,18979,2103
9390,18979,2103
9414,18976,2103
9405,18979,2103
9414,18976,2103
9400,18976,2103
9414,18976,2103
9400,18979,2103
9414,18973,2103
9390,18979,2103
9419,18976,2103
9390,18979,2103
9410,18979,2103
9390,18979,2103
9405,18973,2103
9376,18979,2103
9390,18979,2103
9376,18976,2103
9395,18979,2103
9380,18976,2103
9385,18979,2103
9371,18979,2103
9395,18976,2103
9366,18979,2103
9390,18976,2103
9371,18976,2103
9380,18979,2103
9361,18976,2103
9376,18973,2103
9376,18979,2103
9376,18976,2103
9371,18979,2103
9400,18976,2103
9371,18979,2103
9390,18976,2103
9366,18976,2103
9390,18976,2103
9376,18973,2103
